iter,best_loss,mean_loss,best_reward,mean_reward,reward_mode
0,44.265055820713435,44.26932151585696,1.0,0.14824691216211713,rank
1,44.265764889557396,44.27002329676359,1.0,0.13316623769734637,rank
2,44.26576617103767,44.2696014456104,1.0,0.13660875164093303,rank
3,44.26576744985555,44.26846591400309,1.0,0.13660875164093303,rank
4,44.265059473218265,44.26955002468259,1.0,0.12991113533666193,rank
5,44.26576983130616,44.26998347279358,1.0,0.13316623769734637,rank
6,44.2657711215244,44.26915841557925,1.0,0.1441280278982253,rank
7,44.265772354055244,44.26910872938787,1.0,0.12682797485739125,rank
8,44.26577358251921,44.269605255720165,1.0,0.13660875164093303,rank
9,44.265773642206135,44.269577692809854,1.0,0.12991113533666193,rank
10,44.26577370186778,44.26945511166242,1.0,0.1441280278982253,rank
11,44.26577505288871,44.2697251238645,1.0,0.12991113533666193,rank
12,44.26577505286271,44.27019625869441,1.0,0.13316623769734637,rank
13,44.26577505356511,44.26952081165561,1.0,0.13316623769734637,rank
14,44.265776346520184,44.26996711169229,1.0,0.12991113533666193,rank
15,44.26506856798894,44.26949523185523,1.0,0.13316623769734637,rank
16,44.265070783109245,44.269679405821485,1.0,0.13316623769734637,rank
17,44.26578083221972,44.269261327155135,1.0,0.13316623769734637,rank
18,44.26578088555041,44.26977350068159,1.0,0.14824691216211713,rank
19,44.26507187689937,44.269659137812326,1.0,0.14025610853451315,rank
20,44.26507415774871,44.269730854152776,1.0,0.14025610853451315,rank
21,44.26578674528916,44.26976638909643,1.0,0.14824691216211713,rank
22,44.26578809609305,44.27027016561781,1.0,0.14025610853451315,rank
23,44.26579057386478,44.26960046846661,1.0,0.1441280278982253,rank
24,44.26508280189118,44.27003143140923,1.0,0.13316623769734637,rank
25,44.26579291936421,44.26953875041955,1.0,0.14824691216211713,rank
26,44.26579297259716,44.268710848322904,1.0,0.15733159073972947,rank
27,44.26579421009003,44.26986215101591,1.0,0.1441280278982253,rank
28,44.265086373084536,44.27010072061104,1.0,0.13660875164093303,rank
29,44.265799652313866,44.27006418218046,1.0,0.14025610853451315,rank
30,44.26579971247471,44.27046020708997,1.0,0.14824691216211713,rank
31,44.265091887675844,44.27082638053697,1.0,0.1441280278982253,rank
32,44.26509287574751,44.269565273183,1.0,0.1441280278982253,rank
33,44.2658029333373,44.267637285993125,1.0,0.16236050048203654,rank
34,44.26580547427455,44.27035365042653,1.0,0.13316623769734637,rank
35,44.2650964061095,44.270389214406464,1.0,0.14025610853451315,rank
36,44.26580547460311,44.270321891946104,1.0,0.15733159073972947,rank
37,44.26580671789326,44.270722256670254,1.0,0.17358850975060616,rank
38,44.26509764939964,44.270476884669485,1.0,0.15263832711014028,rank
39,44.26509864262819,44.270524019616296,1.0,0.15263832711014028,rank
40,44.2658077110953,44.2705233152044,1.0,0.1441280278982253,rank
41,44.26580895500143,44.270505881481064,1.0,0.15263832711014028,rank
42,44.26510119106142,44.26997309880676,1.0,0.15263832711014028,rank
43,44.26510218622152,44.269526087977106,1.0,0.1441280278982253,rank
44,44.26581474695018,44.269730799214216,1.0,0.1441280278982253,rank
45,44.265815994262525,44.27201017152967,1.0,0.14824691216211713,rank
46,44.26581605449104,44.27155674920003,1.0,0.14025610853451315,rank
47,44.265816054490756,44.27045712381185,1.0,0.14824691216211713,rank
48,44.26581605413488,44.2703232938202,1.0,0.13660875164093303,rank
49,44.26510698564127,44.27037364585022,1.0,0.14025610853451315,rank
50,44.26510823642088,44.27228986545703,1.0,0.14824691216211713,rank
51,44.26510948776961,44.269964522646816,1.0,0.13660875164093303,rank
52,44.26511053811358,44.27246097797135,1.0,0.13660875164093303,rank
53,44.26511053811358,44.2705096300824,1.0,0.14824691216211713,rank
54,44.265819606607195,44.27280840583116,1.0,0.14824691216211713,rank
55,44.265819603677684,44.271142181262086,1.0,0.13316623769734637,rank
56,44.26582085638028,44.27172142951989,1.0,0.1441280278982253,rank
57,44.26582210924192,44.272581151178684,1.0,0.13660875164093303,rank
58,44.26582210595239,44.27166800742294,1.0,0.13660875164093303,rank
59,44.26582210595239,44.27192359732508,1.0,0.14025610853451315,rank
60,44.26582210559519,44.2703692334898,1.0,0.14025610853451315,rank
61,44.26582210592566,44.272453898061066,1.0,0.1441280278982253,rank
62,44.2658221059521,44.26964582894292,1.0,0.14025610853451315,rank
63,44.26582210630872,44.271688632641684,1.0,0.15263832711014028,rank
64,44.265822105621915,44.271353391779044,1.0,0.14025610853451315,rank
65,44.26582210562249,44.270134355668425,1.0,0.12991113533666193,rank
66,44.26582210597911,44.271413867161456,1.0,0.14025610853451315,rank
67,44.26582210630987,44.27077458723705,1.0,0.14025610853451315,rank
68,44.265822106309585,44.26998460411538,1.0,0.13660875164093303,rank
69,44.26582210631054,44.27031488289661,1.0,0.13316623769734637,rank
70,44.26582210630996,44.270971605610406,1.0,0.12991113533666193,rank
71,44.265822106310246,44.27035761166013,1.0,0.1441280278982253,rank
72,44.265822106256785,44.27037477100318,1.0,0.13660875164093303,rank
73,44.265822106256785,44.27065318981748,1.0,0.13316623769734637,rank
74,44.265822106256785,44.271460160786404,1.0,0.12682797485739125,rank
75,44.265822106613605,44.270673963556725,1.0,0.13660875164093303,rank
76,44.265822106613605,44.270314269732225,1.0,0.13660875164093303,rank
77,44.265822106613605,44.27027721938372,1.0,0.12682797485739125,rank
78,44.26582210664043,44.2693839066346,1.0,0.12991113533666193,rank
79,44.26582210592661,44.26977518570102,1.0,0.13660875164093303,rank
