step,loss,spectral_loss,spacing_loss,regularization
0,1.442792296409607,0.9444013237953186,0.9967781901359558,0.0019089264096692204
50,0.9488638639450073,0.4898033142089844,0.9181172251701355,0.0019054646836593747
100,0.3856668472290039,0.07482347637414932,0.6216829419136047,0.0019043057691305876
150,0.19855178892612457,0.027479885146021843,0.34213998913764954,0.0019041365012526512
200,0.17444166541099548,0.021449293941259384,0.305980920791626,0.0019041472114622593
250,0.1520715206861496,0.018229639157652855,0.26767995953559875,0.0019041060004383326
300,0.13351014256477356,0.014366822317242622,0.23828282952308655,0.0019040891202166677
350,0.12131083756685257,0.011639885604381561,0.2193380892276764,0.001904070028103888
400,0.1072603315114975,0.00981986615806818,0.19487711787223816,0.001904058619402349
450,0.09384319186210632,0.008199813775718212,0.17128294706344604,0.0019040500046685338
500,0.09027697890996933,0.007028457708656788,0.166493222117424,0.0019040453480556607
550,0.08325494825839996,0.005705714225769043,0.15509465336799622,0.0019040325423702598
600,0.07192892581224442,0.004818074870854616,0.13421788811683655,0.0019040369661524892
650,0.06326217949390411,0.003965154755860567,0.11859023571014404,0.0019040342886000872
700,0.0638408437371254,0.0032814801670610905,0.12111490964889526,0.001904032309539616
750,0.05864398553967476,0.002533053047955036,0.11221805959939957,0.001904032309539616
800,0.05604889988899231,0.002129778964444995,0.10783443599939346,0.001904039760120213
850,0.04381018877029419,0.0015001277206465602,0.08461631834506989,0.0019040403421968222
900,0.034824732691049576,0.0011128376936540008,0.06741998344659805,0.0019040426705032587
950,0.03243808075785637,0.0007470303680747747,0.06337829679250717,0.0019040481420233846
1000,0.033519428223371506,0.0005525138694792986,0.06593002378940582,0.0019040516344830394
1050,0.024435698986053467,0.0004417216114234179,0.04798414930701256,0.00190404849126935
1100,0.022954285144805908,0.0004071478033438325,0.04509046673774719,0.0019040470942854881
1150,0.026773586869239807,0.0003862633602693677,0.052770838141441345,0.0019040395272895694
1200,0.020856263116002083,0.0003668993595056236,0.04097491875290871,0.0019040398765355349
1250,0.016811218112707138,0.00036091767833568156,0.03289679437875748,0.001904032425954938
1300,0.019435368478298187,0.0003348235331941396,0.03819728270173073,0.0019040245097130537
1350,0.01713256724178791,0.00033377439831383526,0.03359377756714821,0.0019040246261283755
1400,0.02601032890379429,0.0003500570310279727,0.05131673812866211,0.0019040170591324568
1450,0.02162463590502739,0.0003303595003671944,0.042584747076034546,0.0019040140323340893
1500,0.019174275919795036,0.000340475351549685,0.03766379505395889,0.0019040179904550314
1550,0.022735239937901497,0.00034287679591216147,0.0447809174656868,0.0019040043698623776
1600,0.01679503545165062,0.00032256345730274916,0.03294113650918007,0.001904008793644607
1650,0.01858699508011341,0.00032900855876505375,0.036512166261672974,0.00190399878192693
1700,0.0169699527323246,0.0003275330818723887,0.033281031996011734,0.0019039957551285625
1750,0.014523444697260857,0.0003055361157748848,0.028432009741663933,0.001903995987959206
1800,0.01683589443564415,0.00032615885720588267,0.0330156646668911,0.0019039949402213097
1850,0.01733287423849106,0.0003338314127177,0.03399427980184555,0.0019039945909753442
1900,0.011596710421144962,0.00033629528479650617,0.022517023608088493,0.0019039902836084366
1950,0.017466086894273758,0.0003299670643173158,0.03426843136548996,0.0019039905164390802
1999,0.012875193729996681,0.0003112011181656271,0.02512417733669281,0.0019039835315197706
