window_index,start,end,length
1,101.2378510057314,101.3978510057314,0.1599999999999966
2,103.64553804047834,103.80553804047834,0.1599999999999966
3,105.36662305232609,105.52662305232609,0.1599999999999966
4,107.08861118427642,107.24861118427641,0.1599999999999966
5,110.94953554316969,111.10953554316968,0.1599999999999966
6,111.79465917699262,111.95465917699262,0.1599999999999966
7,114.24022091545272,114.40022091545272,0.1599999999999966
8,116.14668032085756,116.30668032085755,0.1599999999999966
9,118.71078286597621,118.87078286597621,0.1599999999999966
10,121.29012500242065,121.45012500242065,0.1599999999999966
11,122.86682929355258,123.02682929355258,0.1599999999999966
12,124.17681855434576,124.33681855434575,0.1599999999999966
13,127.43668387959649,127.59668387959648,0.1599999999999966
14,129.49870419995605,129.65870419995608,0.160000000000025
15,131.00768853093265,131.16768853093268,0.160000000000025
16,133.41773720299759,133.5777372029976,0.160000000000025
17,134.67650975337384,134.83650975337386,0.160000000000025
18,138.03604205453345,138.19604205453348,0.160000000000025
19,139.65620895212137,139.8162089521214,0.160000000000025
20,141.0437074040211,141.20370740402112,0.160000000000025
21,143.0318458076206,143.19184580762064,0.160000000000025
22,145.9209824867655,146.08098248676552,0.160000000000025
23,147.3427653425596,147.50276534255963,0.160000000000025
24,149.97352042078487,150.1335204207849,0.160000000000025
25,150.84525761224145,151.00525761224148,0.160000000000025
26,152.94469381119885,153.10469381119887,0.160000000000025
27,156.03290929423784,156.19290929423786,0.160000000000025
28,157.51759181759402,157.67759181759405,0.160000000000025
29,158.76998817142047,158.9299881714205,0.160000000000025
