epoch,train_loss,perplexity
1,4.947656273841858,140.84445190429688
2,3.8556602597236633,47.25980758666992
3,3.109178364276886,22.40262794494629
4,2.5423790216445923,12.709870338439941
5,2.144007623195648,8.5335693359375
6,1.8602537214756012,6.425366401672363
7,1.65760737657547,5.246742248535156
8,1.4971162378787994,4.468783378601074
9,1.3683708310127258,3.9289443492889404
10,1.2638333439826965,3.538961410522461
11,1.175875261425972,3.240978479385376
12,1.0982505977153778,2.998915195465088
13,1.0405178368091583,2.8306822776794434
14,0.9837519526481628,2.674471855163574
15,0.9411801099777222,2.5630042552948
16,0.9025308042764664,2.4658358097076416
17,0.8643473237752914,2.3734564781188965
18,0.8362870365381241,2.3077821731567383
19,0.8089499771595001,2.245548725128174
20,0.7832741141319275,2.188626289367676
