tau,heat_trace,heat_trace_norm
0.001,511.12099816672537,0.9982831995443855
0.011090909090909092,507.8881402877473,0.9919690239995065
0.021181818181818184,506.89544140384567,0.9900301589918861
0.03127272727272727,506.188865428106,0.9886501277892695
0.041363636363636366,505.584664287465,0.9874700474364551
0.05145454545454546,505.03976197590356,0.9864057851091866
0.06154545454545455,504.535553826237,0.9854210035668691
0.07163636363636364,504.06203556225944,0.984496163207538
0.08172727272727273,503.6132669143531,0.9836196619420959
0.09181818181818183,503.1854093978613,0.9827840027301978
0.10190909090909092,502.77576874289696,0.9819839233259706
0.112,502.38231039904156,0.981215449998128
0.1220909090909091,502.0034080615583,0.980475406370231
0.13218181818181818,501.6377086764694,0.9797611497587293
0.14227272727272727,501.28405640793693,0.9790704226717518
0.15236363636363637,500.9414470058508,0.9784012636833024
0.16245454545454546,500.60899830084276,0.9777519498063335
0.17254545454545456,500.2859296250316,0.9771209562988898
0.18263636363636365,499.971546466953,0.9765069266932676
0.19272727272727275,499.665228420399,0.9759086492585918
0.20281818181818184,499.36641936801664,0.9753250378281575
0.2129090909090909,499.07461929003,0.9747551158008398
0.223,498.7893773229355,0.9741980025838584
0.2330909090909091,498.51028581957337,0.9736529019913542
0.2431818181818182,498.23697523369765,0.9731190922533157
0.25327272727272726,497.96910969544786,0.9725959173739216
0.26336363636363636,497.70638317222347,0.972082779633249
0.27345454545454545,497.4485161290565,0.9715791330645634
0.28354545454545454,497.19525261713557,0.9710844777678429
0.29363636363636364,496.9463577304831,0.9705983549423498
0.30372727272727273,496.70161537993465,0.9701203425389349
0.31381818181818183,496.4608263411139,0.9696500514474881
0.3239090909090909,496.2238065393984,0.9691871221472625
0.334,495.99038554019074,0.968731221758185
0.3440909090909091,495.7604052173117,0.9682820414400619
0.3541818181818182,495.53371857616776,0.9678392940940777
0.3642727272727273,495.31018871161154,0.9674027123273663
0.3743636363636364,495.08968788320334,0.9669720466468815
0.3844545454545455,494.87209669296783,0.9665470638534528
0.3945454545454546,494.6573033527794,0.9661275456108973
0.4046363636363637,494.4452030302578,0.9657132871684723
0.4147272727272727,494.23569726355703,0.9653040962178848
0.4248181818181818,494.02869343671074,0.9648997918685757
0.4349090909090909,493.82410430830794,0.9645002037271639
0.445,493.62184758721736,0.9641051710687839
0.4550909090909091,493.4218455498973,0.9637145420896431
0.4651818181818182,493.22402469453255,0.9633281732315089
0.4752727272727273,493.0283154278437,0.9629459285700073
0.4853636363636364,492.8346517809408,0.96256767925965
0.4954545454545455,492.6429711510431,0.9621933030293811
0.5055454545454545,492.45321406628085,0.9618226837232048
0.5156363636363637,492.2653239711312,0.9614557108811156
0.5257272727272727,492.0792470303371,0.9610922793561272
0.5358181818181819,491.8949319494129,0.9607322889636971
0.5459090909090909,491.7123298100612,0.9603756441602758
0.556,491.5313939190206,0.9600222537480871
0.5660909090909091,491.3520796690334,0.9596720306035809
0.5761818181818182,491.1743444107671,0.9593248914272795
0.5862727272727273,490.99814733465644,0.9589807565130009
0.5963636363636364,490.82344936174206,0.9586395495346525
0.6064545454545455,490.6502130426842,0.9583011973489926
0.6165454545454546,490.4784024642155,0.9579656298129209
0.6266363636363637,490.3079831623737,0.9576327796140112
0.6367272727272728,490.1389220419249,0.9573025821131346
0.6468181818181818,489.97118730144473,0.9569749751981342
0.6569090909090909,489.80474836358076,0.9566498991476187
0.667,489.63957581006537,0.9563272965040339
0.6770909090909091,489.4756413210891,0.9560071119552521
0.6871818181818182,489.312917618684,0.9556892922239922
0.6972727272727273,489.15137841379715,0.9553737859644476
0.7073636363636364,488.99099835676526,0.9550605436655571
0.7174545454545455,488.8317529909285,0.9547495175604073
0.7275454545454546,488.67361870914345,0.9544406615412958
0.7376363636363636,488.5165727129779,0.954133931080035
0.7477272727272728,488.36059297438857,0.9538292831531027
0.7578181818181818,488.2056581997,0.9535266761712891
0.767909090909091,488.05174779571917,0.953226069913514
0.778,487.89884183783226,0.9529274254645161
0.7880909090909092,487.7469210399461,0.9526307051561447
0.7981818181818182,487.5959667261437,0.9523358725119994
0.8082727272727274,487.445960803939,0.9520428921951933
0.8183636363636364,487.29688573901944,0.9517517299590224
0.8284545454545454,487.1487245313789,0.9514623526003494
0.8385454545454546,487.00146069274786,0.9511747279155232
0.8486363636363636,486.85507822523596,0.950888824658664
0.8587272727272728,486.70956160110916,0.9506046125021663
0.8688181818181818,486.56489574362774,0.9503220619992729
0.878909090909091,486.42106600887865,0.9500411445485911
0.889,486.2780581685406,0.9497618323604309
0.8990909090909092,486.13585839352265,0.9494840984248489
0.9091818181818182,485.9944532384243,0.9492079164812974
0.9192727272727274,485.853829626766,0.9489332609897774
0.9293636363636364,485.71397483694545,0.9486601071034091
0.9394545454545455,485.57487648887474,0.9483884306423335
0.9495454545454546,485.4365225312598,0.9481182080688668
0.9596363636363637,485.2989012294844,0.9478494164638367
0.9697272727272728,485.1620011540638,0.9475820335040308
0.9798181818181818,485.0258111696355,0.9473160374406944
0.989909090909091,484.8903204244576,0.9470514070790188
1.0,484.755518340385,0.9467881217585644
