t,C
0.0,1.7390176893995645e-30
0.05025125628140704,0.0013920930151195801
0.10050251256281408,0.0009403099168265599
0.15075376884422112,0.0012295766490724002
0.20100502512562815,0.0014444665682976155
0.2512562814070352,0.0011222609047672064
0.30150753768844224,0.0018415842525187033
0.35175879396984927,0.001237412144254252
0.4020100502512563,0.0013114681979917893
0.45226130653266333,0.0011765485757602814
0.5025125628140704,0.0011119382474887435
0.5527638190954774,0.0016119090197025095
0.6030150753768845,0.0016628715257817031
0.6532663316582915,0.002066831716918089
0.7035175879396985,0.0022605425173599664
0.7537688442211056,0.0014287973342391844
0.8040201005025126,0.0025260346235209757
0.8542713567839196,0.001226500763768591
0.9045226130653267,0.001684224353038036
0.9547738693467337,0.0013878651352224659
1.0050251256281408,0.001516273959048275
1.0552763819095479,0.00213015689804354
1.105527638190955,0.0015439331419622546
1.155778894472362,0.0023166027181931352
1.206030150753769,0.0017685574865466127
1.256281407035176,0.002098993260253494
1.306532663316583,0.0016812679734427162
1.35678391959799,0.0016648168044094333
1.407035175879397,0.0015612444425708348
1.4572864321608041,0.0016434855470931209
1.5075376884422111,0.001433981138202837
1.5577889447236182,0.0026092724222781935
1.6080402010050252,0.0016296038428699193
1.6582914572864322,0.002765634355754033
1.7085427135678393,0.0018746922689973835
1.7587939698492463,0.0024346786313782175
1.8090452261306533,0.002334099861256308
1.8592964824120604,0.0016621648953751528
1.9095477386934674,0.00216272421774363
1.9597989949748744,0.0017057674433993285
2.0100502512562817,0.002732034424855528
2.0603015075376887,0.0020301310407960294
2.1105527638190957,0.002160197497273967
2.1608040201005028,0.002241537456227851
2.21105527638191,0.0018525198124634697
2.261306532663317,0.0019041622033503843
2.311557788944724,0.0017505170475212426
2.361809045226131,0.0011981229272511604
2.412060301507538,0.001985407143595808
2.462311557788945,0.0014307178385153186
2.512562814070352,0.0020871897152709845
2.562814070351759,0.00202688920097578
2.613065326633166,0.001854615900495331
2.663316582914573,0.0021442777684111043
2.71356783919598,0.0017081763560735065
2.763819095477387,0.0021719484217541736
2.814070351758794,0.0012430548312556194
2.864321608040201,0.0018751425605429584
2.9145728643216082,0.0018231070310575153
2.9648241206030153,0.00215355935898373
3.0150753768844223,0.002446486989292575
3.0653266331658293,0.002241409026933438
3.1155778894472363,0.0023861819887252213
3.1658291457286434,0.0027243185848454597
3.2160804020100504,0.0019090193474856428
3.2663316582914574,0.0019445779824034202
3.3165829145728645,0.0018053540740477906
3.3668341708542715,0.001997466526360388
3.4170854271356785,0.002544414455111524
3.4673366834170856,0.002095232139834996
3.5175879396984926,0.002937477364386178
3.5678391959798996,0.0019179495247521377
3.6180904522613067,0.002946431828879295
3.6683417085427137,0.0017426989416451453
3.7185929648241207,0.0022404345850665906
3.7688442211055277,0.0016142307686401545
3.819095477386935,0.001718925571177531
3.869346733668342,0.0020470098683507505
3.919597989949749,0.002316210124432035
3.969849246231156,0.0021829078907085464
4.020100502512563,0.0024788731586969453
4.07035175879397,0.002343525679979917
4.120603015075377,0.0024192220001677494
4.170854271356784,0.002145286485333936
4.2211055276381915,0.001697701620330989
4.2713567839195985,0.0019450275480649606
4.3216080402010055,0.0017660110649437954
4.371859296482413,0.0024619586870657686
4.42211055276382,0.002261422047982221
4.472361809045227,0.002836115151382142
4.522613065326634,0.0025486409020214823
4.572864321608041,0.002262877668825569
4.623115577889448,0.002315199164961148
4.673366834170855,0.001974642326474599
4.723618090452262,0.0018563447917774839
4.773869346733669,0.0017844177746435647
4.824120603015076,0.002110486103884433
4.874371859296483,0.0022713526646250806
4.92462311557789,0.0023980050440975424
4.974874371859297,0.0020712578987915164
5.025125628140704,0.0024824165657126424
5.075376884422111,0.0021113381266164165
5.125628140703518,0.002183823149928928
5.175879396984925,0.001577483222656543
5.226130653266332,0.002190384881162752
5.276381909547739,0.001781937295902982
5.326633165829146,0.0024010162996269914
5.376884422110553,0.002747630527339622
5.42713567839196,0.002458633510639266
5.477386934673367,0.0027636368590456643
5.527638190954774,0.0024400901960711704
5.577889447236181,0.0027794710941989593
5.628140703517588,0.001830607018885258
5.678391959798995,0.002320272033099277
5.728643216080402,0.0018057359176712857
5.778894472361809,0.0032073217814092675
5.8291457286432165,0.0025334665618859625
5.8793969849246235,0.0030592875890441125
5.9296482412060305,0.002487189629732335
5.9798994974874375,0.0032025202280146973
6.030150753768845,0.0025535182429369174
6.080402010050252,0.0024094382916052376
6.130653266331659,0.00217980432248833
6.180904522613066,0.002067489010017681
6.231155778894473,0.0024905419652347244
6.28140703517588,0.0023480629163985596
6.331658291457287,0.0026076543797114112
6.381909547738694,0.0026285626383703766
6.432160804020101,0.0026581188647614887
6.482412060301508,0.002161120153446038
6.532663316582915,0.002658139386829417
6.582914572864322,0.001761216900343742
6.633165829145729,0.0019635475260603896
6.683417085427136,0.002015986562150375
6.733668341708543,0.002337259097050813
6.78391959798995,0.0024744481903674984
6.834170854271357,0.002512899270447326
6.884422110552764,0.002704793206285929
6.934673366834171,0.002636633473531015
6.984924623115578,0.002745927481410351
7.035175879396985,0.0021645688242769444
7.085427135678392,0.0022505167748924208
7.135678391959799,0.002264051987028967
7.185929648241206,0.0027685540600265097
7.236180904522613,0.002498797463176923
7.28643216080402,0.0031049806291325414
7.336683417085427,0.0025680715186704394
7.386934673366834,0.003243655053764123
7.437185929648241,0.0025527265695231395
7.4874371859296485,0.0027618973127990477
7.5376884422110555,0.0022733999459765724
7.5879396984924625,0.002260298847071669
7.63819095477387,0.0024145063085970584
7.688442211055277,0.0024243911268653855
7.738693467336684,0.003210220491718653
7.788944723618091,0.0023526681105146847
7.839195979899498,0.003119128091807487
7.889447236180905,0.002852909066816601
7.939698492462312,0.002910050322201964
7.989949748743719,0.0022807948562598374
8.040201005025127,0.002483545715679067
8.090452261306533,0.002088310149616589
8.14070351758794,0.0032227436878004565
8.190954773869347,0.002874451371851156
8.241206030150755,0.0035581462513687885
8.291457286432161,0.0034919689813239486
8.341708542713569,0.003588452223132569
8.391959798994975,0.0034935991890263146
8.442211055276383,0.0028165702026360286
8.492462311557789,0.0032482235637037206
8.542713567839197,0.002410300123773223
8.592964824120603,0.003127880317114864
8.643216080402011,0.0029954293696384934
8.693467336683417,0.003174826126197802
8.743718592964825,0.003166360428987595
8.793969849246231,0.0030016495699187466
8.84422110552764,0.003149648379094171
8.894472361809045,0.0029839568822970183
8.944723618090453,0.0022400292223423972
8.99497487437186,0.002340880053041153
9.045226130653267,0.0023545354037492255
9.095477386934673,0.002398248336591236
9.145728643216081,0.0025481106139284963
9.195979899497488,0.0025306721153219493
9.246231155778895,0.0029635015067704723
9.296482412060302,0.0022213734531384235
9.34673366834171,0.002851981967468171
9.396984924623116,0.0017432591246918355
9.447236180904524,0.0021812422218396993
9.49748743718593,0.001867933366273748
9.547738693467338,0.0021876848253244603
9.597989949748744,0.0026249965149369807
9.648241206030152,0.002545669996636969
9.698492462311558,0.0025062428151291566
9.748743718592966,0.0027678312351959227
9.798994974874372,0.002604936192788204
9.84924623115578,0.0025989053389812358
9.899497487437186,0.0022225657804411207
9.949748743718594,0.002038016076025951
10.0,0.002543553446506097
